GEOID,NAME,tract,housing_units,owned_units,rented_units,vacant_units,white_alone,black_alone,asian_alone,hispanic_alone,pop_housing,WARD,year
17031000000,Census Tract 0,0,0,0,0,0,0,0,0,0,0,NA,2e3
17031010100,Census Tract 101,10100,2241,289,1952,316,676,1166,69,242,5183,49,2e3
17031010200,Census Tract 102,10200,3712,721,2991,269,1109,1428,120,881,10328,49,2e3
17031010300,Census Tract 103,10300,3025,739,2286,256,1625,917,96,299,5906,49,2e3
17031010400,Census Tract 104,10400,2357,412,1945,107,1294,447,366,157,4463,49,2e3
17031010500,Census Tract 105,10500,5524,706,4818,319,2820,1424,456,609,10742,49,2e3
17031010600,Census Tract 106,10600,2921,616,2305,215,1370,798,142,501,7030,49,2e3
17031010700,Census Tract 107,10700,3666,858,2808,209,1226,1135,148,1047,10732,49,2e3
17031010800,Census Tract 108,10800,1679,229,1450,100,464,398,102,623,5346,49,2e3
17031010900,Census Tract 109,10900,412,118,294,30,182,92,40,83,1146,40,2e3
17031020100,Census Tract 201,20100,1505,621,884,50,792,321,148,182,3572,49,2e3
17031020200,Census Tract 202,20200,2051,1652,399,42,1450,92,323,145,6226,50,2e3
17031020300,Census Tract 203,20300,3853,2564,1289,109,3285,80,238,178,8515,50,2e3
17031020400,Census Tract 204,20400,1697,795,902,68,1122,161,163,205,4016,50,2e3
17031020500,Census Tract 205,20500,2249,568,1681,103,814,236,730,322,6855,50,2e3
17031020600,Census Tract 206,20600,3442,1462,1980,125,2247,87,556,368,10468,50,2e3
17031020700,Census Tract 207,20700,2864,1374,1490,127,1848,41,601,259,8645,50,2e3
17031020800,Census Tract 208,20800,4369,1597,2772,206,2307,160,1006,620,13105,40,2e3
17031020900,Census Tract 209,20900,3461,1464,1997,212,1333,479,863,582,10213,40,2e3
17031030100,Census Tract 301,30100,6946,2359,4587,307,3509,1757,773,591,12222,48,2e3
17031030200,Census Tract 302,30200,2688,1051,1637,130,1893,233,207,269,5869,48,2e3
17031030300,Census Tract 303,30300,1405,427,978,69,669,153,212,337,3692,40,2e3
17031030400,Census Tract 304,30400,1329,394,935,156,692,74,161,351,3163,40,2e3
17031030500,Census Tract 305,30500,3006,866,2140,171,1645,331,248,718,7504,48,2e3
17031030600,Census Tract 306,30600,5707,1392,4315,377,2848,1624,531,492,9825,48,2e3
17031030700,Census Tract 307,30700,6073,1901,4172,439,3572,1322,552,433,9750,48,2e3
17031030800,Census Tract 308,30800,2215,786,1429,116,1665,65,242,206,4566,48,2e3
17031030900,Census Tract 309,30900,1504,525,979,78,983,49,148,292,3466,40,2e3
17031031000,Census Tract 310,31e3,1839,546,1293,138,1186,95,127,392,4094,47,2e3
17031031100,Census Tract 311,31100,2303,411,1892,141,1353,173,451,257,4842,47,2e3
17031031200,Census Tract 312,31200,2705,187,2518,199,846,906,504,362,5783,48,2e3
17031031300,Census Tract 313,31300,3931,1257,2674,217,1910,849,775,248,6760,48,2e3
17031031400,Census Tract 314,31400,3911,2348,1563,135,3007,348,298,180,5817,46,2e3
17031031500,Census Tract 315,31500,4184,314,3870,300,1231,1527,690,588,9253,46,2e3
17031031600,Census Tract 316,31600,1328,225,1103,121,494,431,117,197,3208,46,2e3
17031031700,Census Tract 317,31700,3614,712,2902,230,1732,844,179,723,7335,46,2e3
