tract,state_abbr,year,annual_change,hpi,hpi1990,hpi2000,WARD
17031842400,IL,2001,NA,100,NA,NA,21
17031842400,IL,2002,2,102,NA,NA,21
17031842400,IL,2003,2.06,104.09,NA,NA,21
17031842400,IL,2004,7.45,111.84,NA,NA,21
17031842400,IL,2005,24.86,139.65,NA,NA,21
17031842400,IL,2006,3.97,145.2,NA,NA,21
17031842400,IL,2007,-7.16,134.81,NA,NA,21
17031842400,IL,2008,4.66,141.09,NA,NA,21
17031842400,IL,2009,NA,NA,NA,NA,21
17031842400,IL,2010,NA,111.76,NA,NA,21
17031842400,IL,2011,2.56,114.62,NA,NA,21
17031842400,IL,2012,-24.32,86.74,NA,NA,21
17031842400,IL,2013,23.83,107.41,NA,NA,21
17031842400,IL,2014,-2.45,104.78,NA,NA,21
17031842400,IL,2015,-2.66,102,NA,NA,21
17031842400,IL,2016,15.01,117.31,NA,NA,21
17031842400,IL,2017,NA,NA,NA,NA,21
17031840300,IL,1994,NA,100,NA,74.58,12
17031840300,IL,1995,2.03,102.03,NA,76.1,12
17031840300,IL,1996,1.14,103.2,NA,76.96,12
17031840300,IL,1997,7.88,111.33,NA,83.03,12
17031840300,IL,1998,4.19,116,NA,86.51,12
17031840300,IL,1999,-0.86,115,NA,85.77,12
17031840300,IL,2000,16.59,134.08,NA,100,12
17031840300,IL,2001,11.61,149.66,NA,111.61,12
17031840300,IL,2002,11.56,166.96,NA,124.52,12
17031840300,IL,2003,12.72,188.19,NA,140.35,12
17031840300,IL,2004,9.08,205.28,NA,153.1,12
17031840300,IL,2005,11.02,227.91,NA,169.97,12
17031840300,IL,2006,9.4,249.32,NA,185.94,12
17031840300,IL,2007,13.65,283.35,NA,211.32,12
17031840300,IL,2008,-15,240.86,NA,179.63,12
17031840300,IL,2009,-8.27,220.93,NA,164.77,12
17031840300,IL,2010,-9.36,200.24,NA,149.34,12
17031840300,IL,2011,-7.04,186.14,NA,138.82,12
17031840300,IL,2012,-7.47,172.23,NA,128.45,12
17031840300,IL,2013,3.08,177.54,NA,132.41,12
17031840300,IL,2014,9.06,193.63,NA,144.41,12
17031840300,IL,2015,-3.46,186.93,NA,139.41,12
17031840300,IL,2016,10.26,206.11,NA,153.72,12
17031840300,IL,2017,13.51,233.96,NA,174.49,12
17031841100,NA,NA,NA,NA,NA,NA,25
17031841200,NA,NA,NA,NA,NA,NA,25
17031839000,NA,NA,NA,NA,NA,NA,4
17031838200,NA,NA,NA,NA,NA,NA,27
17031650301,IL,1986,NA,100,70.14,46.14,13
17031650301,IL,1987,8.71,108.71,76.25,50.15,13
17031650301,IL,1988,5.6,114.79,80.52,52.96,13
17031650301,IL,1989,16.03,133.19,93.42,61.45,13
17031650301,IL,1990,7.04,142.57,100,65.78,13
17031650301,IL,1991,7.95,153.91,107.95,71.01,13
17031650301,IL,1992,6.72,164.25,115.2,75.78,13
17031650301,IL,1993,5.78,173.74,121.86,80.16,13
17031650301,IL,1994,-0.17,173.44,121.65,80.02,13
17031650301,IL,1995,4.19,180.71,126.75,83.37,13
17031650301,IL,1996,-1.64,177.75,124.67,82.01,13
17031650301,IL,1997,3.62,184.19,129.19,84.98,13
17031650301,IL,1998,4.54,192.55,135.06,88.84,13
17031650301,IL,1999,6.24,204.57,143.49,94.38,13
17031650301,IL,2000,5.95,216.75,152.03,100,13
17031650301,IL,2001,10.24,238.95,167.6,110.24,13
17031650301,IL,2002,6.76,255.1,178.93,117.7,13
17031650301,IL,2003,9.55,279.47,196.02,128.94,13
17031650301,IL,2004,16.67,326.05,228.69,150.43,13
17031650301,IL,2005,13.6,370.4,259.8,170.89,13
17031650301,IL,2006,3.86,384.69,269.82,177.48,13
17031650301,IL,2007,5.14,404.45,283.68,186.6,13
17031650301,IL,2008,-14.17,347.15,243.49,160.16,13
17031650301,IL,2009,-17.05,287.95,201.97,132.85,13
17031650301,IL,2010,-11.52,254.78,178.7,117.55,13
17031650301,IL,2011,-9.24,231.25,162.2,106.69,13
17031650301,IL,2012,-6.43,216.38,151.77,99.83,13
17031650301,IL,2013,-0.36,215.61,151.23,99.47,13
17031650301,IL,2014,11.7,240.84,168.93,111.12,13
17031650301,IL,2015,13.33,272.94,191.44,125.93,13
17031650301,IL,2016,-0.05,272.8,191.35,125.86,13
17031650301,IL,2017,8.67,296.45,207.93,136.77,13
17031530503,IL,1996,NA,100,NA,77.3,9
17031530503,IL,1997,1.89,101.89,NA,78.76,9
17031530503,IL,1998,7.98,110.03,NA,85.04,9
17031530503,IL,1999,-2.46,107.31,NA,82.95,9
17031530503,IL,2000,20.56,129.37,NA,100,9
17031530503,IL,2001,-9.67,116.86,NA,90.33,9
17031530503,IL,2002,8.76,127.1,NA,98.25,9
17031530503,IL,2003,0.62,127.9,NA,98.86,9
17031530503,IL,2004,13.98,145.78,NA,112.68,9
17031530503,IL,2005,10.18,160.62,NA,124.15,9
17031530503,IL,2006,5.49,169.44,NA,130.97,9
17031530503,IL,2007,-1.19,167.42,NA,129.41,9
17031530503,IL,2008,-0.19,167.11,NA,129.16,9
17031530503,IL,2009,-12.58,146.08,NA,112.91,9
17031530503,IL,2010,3.09,150.59,NA,116.4,9
17031530503,IL,2011,-15.54,127.19,NA,98.31,9
17031530503,IL,2012,-5.93,119.65,NA,92.48,9
17031530503,IL,2013,1.06,120.92,NA,93.46,9
17031530503,IL,2014,4.28,126.1,NA,97.47,9
17031530503,IL,2015,0.11,126.23,NA,97.57,9
17031530503,IL,2016,-4.88,120.07,NA,92.81,9
17031530503,IL,2017,NA,NA,NA,NA,9
17031760803,NA,NA,NA,NA,NA,NA,41
17031030601,NA,NA,NA,NA,NA,NA,48
17031030604,NA,NA,NA,NA,NA,NA,48
17031020801,IL,1992,NA,100,NA,67.47,40
17031020801,IL,1993,1.28,101.28,NA,68.34,40
17031020801,IL,1994,3.6,104.92,NA,70.8,40
17031020801,IL,1995,2.52,107.56,NA,72.58,40
17031020801,IL,1996,7.83,115.98,NA,78.26,40
17031020801,IL,1997,-5.42,109.7,NA,74.02,40
17031020801,IL,1998,3.93,114.01,NA,76.92,40
17031020801,IL,1999,16.74,133.09,NA,89.8,40
17031020801,IL,2000,11.36,148.21,NA,100,40
